x_value,total_1,total_2
0,1000,1000
1,996,997
2,996,996
3,999,998
4,1001,995
5,1001,995
6,1005,994
7,1011,995
8,1015,994
9,1012,990
10,1020,994
11,1023,998
12,1017,995
13,1023,999
14,1029,998
15,1024,996
16,1022,992
17,1021,990
18,1028,986
19,1032,986
20,1039,991
21,1045,986
22,1039,991
23,1034,997
24,1039,998
25,1036,998
26,1042,1000
27,1047,996
28,1052,1002
29,1056,998
30,1051,1002
31,1049,1002
32,1054,1004
33,1051,1006
34,1054,1005
35,1050,1005
36,1049,1003
37,1046,999
38,1051,1005
39,1049,1003
40,1049,1006
41,1049,1010
42,1049,1011
43,1048,1015
44,1055,1021
45,1049,1018
46,1045,1014
47,1040,1009
48,1034,1009
49,1042,1007
50,1047,1005
51,1043,1010
52,1049,1012
53,1049,1013
54,1044,1008
55,1041,1011
56,1043,1009
57,1041,1015
58,1046,1015
59,1054,1015
60,1054,1019
61,1051,1018
62,1048,1022
63,1046,1027
64,1041,1032
65,1045,1037
66,1051,1042
67,1053,1040
68,1047,1040
69,1048,1037
70,1043,1035
71,1040,1039
72,1044,1035
73,1048,1032
74,1052,1028
75,1054,1023
76,1058,1023
77,1058,1021
78,1058,1017
79,1064,1012
80,1071,1011
81,1070,1017
82,1070,1018
83,1069,1021
84,1073,1024
85,1078,1030
86,1085,1034
87,1091,1031
88,1098,1029
89,1106,1029
90,1113,1027
91,1109,1022
92,1113,1027
93,1107,1032
94,1115,1033
95,1121,1037
96,1128,1032
97,1135,1028
98,1131,1023
99,1127,1025
100,1132,1024
101,1140,1027
102,1135,1025
103,1139,1030
104,1146,1028
105,1152,1025
106,1155,1021
107,1150,1017
108,1146,1020
109,1144,1023
110,1147,1021
111,1149,1016
112,1152,1016
113,1146,1012
114,1144,1017
115,1146,1017
116,1148,1020
117,1143,1026
118,1138,1031
119,1134,1031
120,1132,1037
121,1127,1033
122,1131,1032
123,1129,1028
124,1135,1026
125,1132,1024
126,1130,1027
127,1125,1025
128,1119,1023
129,1120,1020
130,1123,1017
131,1122,1014
132,1118,1016
133,1115,1021
134,1111,1018
135,1105,1019
136,1111,1021
137,1115,1023
138,1112,1024
139,1108,1029
140,1115,1032
141,1120,1037
142,1127,1040
143,1132,1035
144,1132,1038
145,1136,1044
146,1138,1045
147,1145,1045
148,1146,1042
149,1149,1047
150,1148,1042
151,1152,1038
152,1155,1035
153,1162,1031
154,1164,1037
155,1167,1034
156,1161,1034
157,1163,1037
158,1158,1037
159,1160,1032
160,1161,1028
161,1160,1034
162,1163,1037
163,1159,1032
164,1155,1038
165,1158,1041
166,1165,1041
167,1171,1042
168,1165,1048
169,1160,1054
170,1157,1055
171,1156,1055
172,1154,1053
173,1151,1057
174,1148,1052
175,1152,1053
176,1160,1059
177,1155,1064
178,1163,1063
179,1160,1068
180,1158,1065
181,1154,1062
182,1162,1068
183,1158,1074
184,1162,1074
185,1159,1074
186,1155,1074
187,1158,1079
188,1165,1085
189,1164,1090
190,1172,1086
191,1168,1090
192,1168,1088
193,1163,1084
194,1164,1090
195,1164,1087
196,1161,1087
197,1157,1085
198,1155,1083
199,1155,1088
200,1160,1085
201,1166,1087
202,1170,1088
203,1164,1093
204,1169,1089
205,1170,1089
206,1174,1094
207,1168,1098
208,1171,1097
209,1166,1092
210,1162,1096
211,1162,1097
212,1160,1098
213,1167,1100
214,1170,1098
215,1177,1095
216,1184,1090
217,1188,1093
218,1196,1089
219,1193,1092
220,1199,1089
221,1200,1094
222,1207,1095
223,1211,1096
224,1214,1101
225,1222,1098
226,1229,1103
227,1237,1103
228,1234,1108
229,1238,1107
230,1239,1105
231,1244,1107
232,1249,1110
233,1250,1109
234,1250,1107
235,1247,1108
236,1250,1108
237,1246,1111
238,1254,1112
239,1261,1117
240,1259,1122
241,1256,1117
242,1264,1112
243,1265,1114
244,1262,1115
245,1257,1118
246,1258,1120
247,1257,1120
248,1257,1120
249,1253,1122
250,1258,1117
251,1253,1120
252,1250,1126
253,1246,1126
254,1253,1123
255,1260,1127
256,1265,1131
257,1273,1137
258,1272,1137
259,1273,1138
260,1277,1134
261,1271,1136
262,1268,1142
263,1276,1138
264,1281,1138
265,1278,1144
266,1278,1147
267,1273,1150
268,1270,1154
269,1270,1160
270,1265,1165
271,1268,1163
272,1266,1166
273,1263,1163
274,1265,1167
275,1270,1163
276,1269,1166
277,1270,1161
278,1267,1164
279,1275,1163
280,1275,1161
281,1273,1163
282,1271,1160
283,1272,1162
284,1274,1167
285,1268,1169
286,1275,1170
287,1281,1175
288,1283,1179
289,1291,1183
290,1289,1183
291,1283,1181
292,1285,1185
293,1281,1187
294,1288,1182
295,1284,1177
296,1286,1173
297,1286,1179
298,1289,1184
299,1294,1179
300,1299,1181
301,1301,1176
302,1307,1182
303,1303,1178
304,1303,1174
305,1298,1174
306,1301,1180
307,1305,1184
308,1308,1185
309,1307,1190
310,1305,1192
311,1302,1188
312,1307,1193
313,1303,1193
314,1297,1188
315,1293,1189
316,1297,1187
317,1303,1186
